eventid|venueid|catid|dateid|eventname|starttime
5283|3|9|1980|Paul Weller|2008-06-03 19:30:00.000000
5530|89|9|1980|James Taylor|2008-06-03 19:00:00.000000
6036|55|9|1980|Bullet for My Valentine|2008-06-03 19:00:00.000000
7214|29|9|1980|Willie Nelson|2008-06-03 15:00:00.000000
7412|46|9|1980|Phil Vassar|2008-06-03 15:00:00.000000
8604|115|9|1980|Ani DiFranco|2008-06-03 19:30:00.000000
8755|108|9|1980|Bob Dylan|2008-06-03 14:00:00.000000
535|246|6|1981|Mamma Mia!|2008-06-04 19:30:00.000000
625|236|6|1981|Spamalot|2008-06-04 20:00:00.000000
1586|257|6|1981|O - Cirque du Soleil|2008-06-04 14:00:00.000000
2282|204|7|1981|A Streetcar Named Desire|2008-06-04 14:00:00.000000
2441|236|7|1981|A Doll's House|2008-06-04 15:00:00.000000
2566|246|7|1981|Waiting for Godot|2008-06-04 14:00:00.000000
2736|222|7|1981|The Cherry Orchard|2008-06-04 15:00:00.000000
2937|212|7|1981|The Caucasian Chalk Circle|2008-06-04 14:00:00.000000
6125|44|9|1981|Greg Kihn Band|2008-06-04 14:00:00.000000
6633|8|9|1981|Motorhead|2008-06-04 14:00:00.000000
7624|70|9|1981|Montgomery Gentry|2008-06-04 15:00:00.000000
8225|117|9|1981|Commodores|2008-06-04 14:00:00.000000
8290|20|9|1981|Donny Osmond|2008-06-04 14:00:00.000000
8728|104|9|1981|Coldplay|2008-06-04 15:00:00.000000
553|220|6|1982|Grease|2008-06-05 14:00:00.000000
2396|209|7|1982|Julius Caesar|2008-06-05 20:00:00.000000
2785|205|7|1982|Spring Awakening|2008-06-05 19:30:00.000000
3680|203|7|1982|Spring Awakening|2008-06-05 20:00:00.000000
5307|103|9|1982|Kenny Chesney|2008-06-05 15:00:00.000000
5545|62|9|1982|Yaz|2008-06-05 14:00:00.000000
5641|5|9|1982|Wynonna|2008-06-05 19:00:00.000000
5822|48|9|1982|Pat Benatar|2008-06-05 19:00:00.000000
288|300|8|1983|Siegfried|2008-06-06 20:00:00.000000
1257|233|6|1983|Jersey Boys|2008-06-06 15:00:00.000000
1294|249|6|1983|Billy Elliot the Musical|2008-06-06 14:30:00.000000
1886|247|7|1983|Oedipus the King|2008-06-06 19:00:00.000000
2588|211|7|1983|A Man For All Seasons|2008-06-06 19:30:00.000000
4596|113|9|1983|Goo Goo Dolls|2008-06-06 14:30:00.000000
4641|92|9|1983|Smokey Robinson|2008-06-06 14:30:00.000000
5485|1|9|1983|Built To Spill|2008-06-06 19:00:00.000000
6628|91|9|1983|David Sanborn|2008-06-06 19:30:00.000000
7464|86|9|1983|Led Zeppelin|2008-06-06 19:00:00.000000
252|308|8|1984|Boris Godunov|2008-06-07 14:30:00.000000
437|303|8|1984|Simon Boccanegra|2008-06-07 14:00:00.000000
1065|200|6|1984|Chicago|2008-06-07 20:00:00.000000
1155|218|6|1984|Shrek the Musical|2008-06-07 20:00:00.000000
1922|217|7|1984|Rock 'n' Roll|2008-06-07 19:30:00.000000
2292|233|7|1984|All My Sons|2008-06-07 15:00:00.000000
3142|220|7|1984|The Caucasian Chalk Circle|2008-06-07 19:00:00.000000
3642|219|7|1984|Rhinoceros|2008-06-07 19:30:00.000000
4067|39|9|1984|Kid Rock|2008-06-07 14:00:00.000000
4252|45|9|1984|Tegan and Sara|2008-06-07 19:00:00.000000
5748|95|9|1984|Marc Anthony|2008-06-07 19:00:00.000000
5849|89|9|1984|Regina Spektor|2008-06-07 14:00:00.000000
5875|100|9|1984|Hannah Montana|2008-06-07 14:00:00.000000
5912|122|9|1984|Wynonna|2008-06-07 14:00:00.000000
6064|34|9|1984|Cold War Kids|2008-06-07 14:00:00.000000
6283|40|9|1984|Motorhead|2008-06-07 15:00:00.000000
6599|121|9|1984|Brooks and Dunn|2008-06-07 19:30:00.000000
7634|13|9|1984|Joan Baez|2008-06-07 15:00:00.000000
8033|17|9|1984|Smashing Pumpkins|2008-06-07 19:30:00.000000
8300|90|9|1984|The Police|2008-06-07 19:30:00.000000
294|301|8|1985|Adriana Lecouvreur|2008-06-08 19:30:00.000000
1183|211|6|1985|South Pacific|2008-06-08 20:00:00.000000
1474|203|6|1985|Hairspray|2008-06-08 19:30:00.000000
1483|221|6|1985|Curtains|2008-06-08 20:00:00.000000
1852|226|7|1985|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-06-08 14:00:00.000000
2082|238|7|1985|Young Frankenstein|2008-06-08 19:30:00.000000
2783|230|7|1985|As You Like It|2008-06-08 15:00:00.000000
3112|203|7|1985|Miss Julie|2008-06-08 14:00:00.000000
3983|23|9|1985|Little River Band|2008-06-08 19:00:00.000000
4240|51|9|1985|Medeski Martin and Wood|2008-06-08 20:00:00.000000
6690|122|9|1985|Amos Lee|2008-06-08 15:00:00.000000
6947|86|9|1985|Huey Lewis and the News|2008-06-08 15:00:00.000000
7964|36|9|1985|Bruce Hornsby|2008-06-08 14:00:00.000000
8373|32|9|1985|Blind Melon|2008-06-08 14:00:00.000000
8653|53|9|1985|Natasha Bedingfield|2008-06-08 15:00:00.000000
493|304|8|1986|Ring Cycle|2008-06-09 14:00:00.000000
631|203|6|1986|Les Miserables|2008-06-09 20:00:00.000000
741|209|6|1986|Billy Elliot the Musical|2008-06-09 19:00:00.000000
1541|257|6|1986|Mamma Mia!|2008-06-09 14:30:00.000000
2938|244|7|1986|A Doll's House|2008-06-09 14:00:00.000000
3401|219|7|1986|Cirque du Soleil|2008-06-09 14:00:00.000000
3843|75|9|1986|Blake Shelton|2008-06-09 14:30:00.000000
5938|65|9|1986|Counting Crows and Maroon 5|2008-06-09 19:30:00.000000
6744|130|9|1986|Santana|2008-06-09 19:30:00.000000
7986|115|9|1986|Insane Clown Posse|2008-06-09 15:00:00.000000
8174|92|9|1986|Tower of Power|2008-06-09 14:00:00.000000
1357|208|6|1987|High Society|2008-06-10 19:00:00.000000
2332|228|7|1987|August: Osage County|2008-06-10 14:30:00.000000
2779|235|7|1987|The Glass Menagerie|2008-06-10 20:00:00.000000
2992|205|7|1987|Macbeth|2008-06-10 15:00:00.000000
2993|207|7|1987|To Be or Not To Be|2008-06-10 19:00:00.000000
4127|114|9|1987|Vans Warped Tour|2008-06-10 14:00:00.000000
4157|56|9|1987|Tom Petty and the Heartbreakers|2008-06-10 19:00:00.000000
6067|61|9|1987|Avril Lavigne|2008-06-10 19:30:00.000000
6090|32|9|1987|Rolling Stones|2008-06-10 15:00:00.000000
6464|120|9|1987|Nine Inch Nails|2008-06-10 19:30:00.000000
8391|69|9|1987|Dropkick Murphys|2008-06-10 19:00:00.000000
2395|201|7|1988|Miss Julie|2008-06-11 15:00:00.000000
3727|224|7|1988|Rhinoceros|2008-06-11 19:00:00.000000
4622|51|9|1988|Extreme|2008-06-11 19:00:00.000000
4637|33|9|1988|Hot Tuna|2008-06-11 15:00:00.000000
6616|111|9|1988|Rascal Flatts|2008-06-11 19:00:00.000000
8050|8|9|1988|Nofx|2008-06-11 15:00:00.000000
215|305|8|1989|L Elisir d Amore|2008-06-12 19:00:00.000000
236|303|8|1989|Eugene Onegin|2008-06-12 15:00:00.000000
871|248|6|1989|Curtains|2008-06-12 19:30:00.000000
927|221|6|1989|Pal Joey|2008-06-12 19:30:00.000000
2370|233|7|1989|Endgame|2008-06-12 14:00:00.000000
2581|215|7|1989|Julius Caesar|2008-06-12 19:00:00.000000
2670|213|7|1989|Iphigenia|2008-06-12 14:30:00.000000
3966|46|9|1989|Loretta Lynn|2008-06-12 14:00:00.000000
5951|114|9|1989|Casting Crowns|2008-06-12 14:00:00.000000
6115|83|9|1989|Kool and The Gang|2008-06-12 19:30:00.000000
8569|74|9|1989|Girl Talk|2008-06-12 14:00:00.000000
1166|213|6|1990|South Pacific|2008-06-13 14:00:00.000000
3070|235|7|1990|A Doll's House|2008-06-13 14:00:00.000000
4037|58|9|1990|Maroon 5|2008-06-13 14:30:00.000000
4940|119|9|1990|Clint Black|2008-06-13 19:30:00.000000
5963|37|9|1990|Tower of Power|2008-06-13 19:00:00.000000
6466|48|9|1990|Paul McCartney|2008-06-13 19:30:00.000000
6945|112|9|1990|Godsmack|2008-06-13 14:00:00.000000
7032|113|9|1990|Chromeo|2008-06-13 19:00:00.000000
8032|61|9|1990|Lindsey Buckingham|2008-06-13 19:30:00.000000
8513|42|9|1990|Umphreys McGee|2008-06-13 15:00:00.000000
122|300|8|1991|Orfeo ed Euridice|2008-06-14 20:00:00.000000
339|309|8|1991|La Traviata|2008-06-14 20:00:00.000000
628|246|6|1991|Mary Poppins|2008-06-14 14:30:00.000000
778|226|6|1991|The Lion King|2008-06-14 19:30:00.000000
3284|205|7|1991|The Cherry Orchard|2008-06-14 20:00:00.000000
4528|90|9|1991|Kansas|2008-06-14 15:00:00.000000
5898|76|9|1991|Blind Melon|2008-06-14 19:30:00.000000
5952|113|9|1991|Steven Curtis Chapman|2008-06-14 14:00:00.000000
6268|6|9|1991|Natasha Bedingfield|2008-06-14 19:00:00.000000
6355|107|9|1991|Anita Baker|2008-06-14 14:00:00.000000
6458|71|9|1991|Ringo Starr|2008-06-14 14:00:00.000000
7158|119|9|1991|John Fogerty|2008-06-14 19:30:00.000000
8421|115|9|1991|The Who|2008-06-14 15:00:00.000000
8595|17|9|1991|DJ Shadow and Cut Chemist|2008-06-14 19:00:00.000000
2454|234|7|1992|Waiting for Godot|2008-06-15 20:00:00.000000
3179|236|7|1992|Spring Awakening|2008-06-15 19:30:00.000000
3396|214|7|1992|The Farnsworth Invention|2008-06-15 14:00:00.000000
3462|234|7|1992|As You Like It|2008-06-15 20:00:00.000000
3586|227|7|1992|Macbeth|2008-06-15 14:30:00.000000
3604|235|7|1992|The Frogs|2008-06-15 14:30:00.000000
3864|75|9|1992|Celine Dion|2008-06-15 15:00:00.000000
4254|83|9|1992|U2|2008-06-15 14:00:00.000000
4328|31|9|1992|Rusted Root|2008-06-15 19:00:00.000000
5261|33|9|1992|Gordon Lightfoot|2008-06-15 14:00:00.000000
5953|28|9|1992|Dixie Chicks|2008-06-15 19:00:00.000000
6056|55|9|1992|Poison|2008-06-15 14:00:00.000000
7315|39|9|1992|Citizen Cope|2008-06-15 14:00:00.000000
7590|26|9|1992|Avril Lavigne|2008-06-15 19:00:00.000000
8497|112|9|1992|Zucchero|2008-06-15 19:30:00.000000
8535|37|9|1992|Taylor Swift|2008-06-15 19:00:00.000000
8557|113|9|1992|Allman Brothers Band|2008-06-15 19:00:00.000000
325|300|8|1993|Die Walkure|2008-06-16 19:30:00.000000
1023|231|6|1993|Flower Drum Song|2008-06-16 14:00:00.000000
1882|239|7|1993|Othello|2008-06-16 19:00:00.000000
2327|208|7|1993|The Seafarer|2008-06-16 14:30:00.000000
3770|237|7|1993|Romeo and Juliet|2008-06-16 20:00:00.000000
3817|105|9|1993|Kansas|2008-06-16 14:00:00.000000
3997|88|9|1993|Fleet Foxes|2008-06-16 19:30:00.000000
4487|38|9|1993|Vicente Fernandez|2008-06-16 19:30:00.000000
5114|39|9|1993|Charlie Daniels Band|2008-06-16 15:00:00.000000
5718|87|9|1993|Eva Ayllon|2008-06-16 14:00:00.000000
5842|122|9|1993|Nashville Star|2008-06-16 15:00:00.000000
6065|123|9|1993|Dolly Parton|2008-06-16 19:30:00.000000
6672|91|9|1993|Nofx|2008-06-16 19:00:00.000000
6732|85|9|1993|Eddie Vedder|2008-06-16 19:30:00.000000
7326|98|9|1993|Wyclef Jean|2008-06-16 14:00:00.000000
7910|80|9|1993|Joe Cocker|2008-06-16 14:00:00.000000
472|302|8|1994|The Queen of Spades|2008-06-17 19:00:00.000000
1263|229|6|1994|Fiddler on the Roof|2008-06-17 14:30:00.000000
1562|259|6|1994|Mystere Cirque du Soleil|2008-06-17 20:00:00.000000
2016|210|7|1994|The Homecoming|2008-06-17 19:30:00.000000
2361|224|7|1994|The Homecoming|2008-06-17 19:30:00.000000
3116|249|7|1994|The Caretaker|2008-06-17 14:30:00.000000
4899|102|9|1994|Jonas Brothers|2008-06-17 19:00:00.000000
5047|28|9|1994|Travis Tritt|2008-06-17 14:00:00.000000
5719|64|9|1994|Citizen Cope|2008-06-17 15:00:00.000000
5925|129|9|1994|Country Thunder USA|2008-06-17 19:00:00.000000
7174|110|9|1994|Eric Clapton|2008-06-17 15:00:00.000000
8761|78|9|1994|Sunday in the Country|2008-06-17 19:30:00.000000
207|304|8|1995|La Boheme|2008-06-18 19:00:00.000000
753|218|6|1995|Chicago|2008-06-18 14:00:00.000000
2220|213|7|1995|Rock 'n' Roll|2008-06-18 19:00:00.000000
3040|222|7|1995|The Frogs|2008-06-18 19:00:00.000000
4299|114|9|1995|Gary Allan|2008-06-18 14:00:00.000000
4768|64|9|1995|Doobie Brothers|2008-06-18 20:00:00.000000
5993|65|9|1995|Taylor Swift|2008-06-18 15:00:00.000000
6101|16|9|1995|Live|2008-06-18 15:00:00.000000
7940|88|9|1995|Los Temerarios|2008-06-18 15:00:00.000000
8507|119|9|1995|Linda Eder|2008-06-18 19:00:00.000000
8607|90|9|1995|Rock The Bayou|2008-06-18 19:30:00.000000
413|300|8|1996|The Queen of Spades|2008-06-19 20:00:00.000000
833|203|6|1996|Billy Elliot the Musical|2008-06-19 14:30:00.000000
881|237|6|1996|Gypsy|2008-06-19 19:00:00.000000
1277|248|6|1996|A Chorus Line|2008-06-19 15:00:00.000000
1635|255|6|1996|O - Cirque du Soleil|2008-06-19 14:30:00.000000
1648|259|6|1996|Zumanity|2008-06-19 19:30:00.000000
1783|263|6|1996|Legally Blonde|2008-06-19 14:00:00.000000
3058|235|7|1996|Julius Caesar|2008-06-19 14:30:00.000000
3532|201|7|1996|A Doll's House|2008-06-19 14:30:00.000000
4928|94|9|1996|Chris Botti|2008-06-19 14:00:00.000000
5048|8|9|1996|Demi Lovato|2008-06-19 19:30:00.000000
5079|123|9|1996|Jamboree in the Hills|2008-06-19 14:00:00.000000
5345|47|9|1996|Lucinda Williams|2008-06-19 14:00:00.000000
6098|27|9|1996|Maze|2008-06-19 19:30:00.000000
7350|18|9|1996|Broken Social Scene|2008-06-19 19:00:00.000000
8465|90|9|1996|Gwen Stefani|2008-06-19 14:00:00.000000
495|304|8|1997|La Damnation de Faust|2008-06-20 19:30:00.000000
891|210|6|1997|The Lion King|2008-06-20 15:00:00.000000
1262|225|6|1997|State Fair|2008-06-20 14:30:00.000000
2778|233|7|1997|The 39 Steps|2008-06-20 19:30:00.000000
2804|229|7|1997|Rosencrantz and Guildenstern Are Dead|2008-06-20 15:00:00.000000
3213|248|7|1997|Rosencrantz and Guildenstern Are Dead|2008-06-20 14:00:00.000000
3980|112|9|1997|Fab Faux|2008-06-20 14:00:00.000000
4289|3|9|1997|Stray Cats|2008-06-20 19:30:00.000000
4507|30|9|1997|Jessica Simpson|2008-06-20 14:30:00.000000
5273|96|9|1997|Little River Band|2008-06-20 19:30:00.000000
5368|69|9|1997|Spoon|2008-06-20 19:30:00.000000
5937|14|9|1997|Brian Jonestown Massacre|2008-06-20 19:30:00.000000
8107|74|9|1997|Stone Temple Pilots|2008-06-20 14:00:00.000000
8768|26|9|1997|Brooks and Dunn|2008-06-20 14:00:00.000000
818|200|6|1998|The King and I|2008-06-21 14:30:00.000000
886|200|6|1998|Kiss Me Kate|2008-06-21 19:00:00.000000
965|236|6|1998|Mamma Mia!|2008-06-21 14:30:00.000000
1576|254|6|1998|O - Cirque du Soleil|2008-06-21 19:00:00.000000
3921|49|9|1998|Ray Lamontagne|2008-06-21 19:30:00.000000
6357|50|9|1998|Nas|2008-06-21 15:00:00.000000
6730|130|9|1998|Buckcherry|2008-06-21 19:30:00.000000
7496|107|9|1998|King Crimson|2008-06-21 14:00:00.000000
8739|36|9|1998|John Fogerty|2008-06-21 19:00:00.000000
482|302|8|1999|Orfeo ed Euridice|2008-06-22 19:00:00.000000
712|211|6|1999|Jersey Boys|2008-06-22 20:00:00.000000
1051|220|6|1999|South Pacific|2008-06-22 14:00:00.000000
1184|243|6|1999|Jersey Boys|2008-06-22 19:00:00.000000
2073|206|7|1999|Our Town|2008-06-22 14:30:00.000000
3259|203|7|1999|Electra|2008-06-22 15:00:00.000000
4404|7|9|1999|Missy Higgins|2008-06-22 14:30:00.000000
5428|72|9|1999|Celine Dion|2008-06-22 19:00:00.000000
5445|7|9|1999|Reba McEntire|2008-06-22 15:00:00.000000
6001|44|9|1999|Sevendust|2008-06-22 14:00:00.000000
6375|120|9|1999|Greg Kihn Band|2008-06-22 19:30:00.000000
6874|71|9|1999|Janet Jackson|2008-06-22 15:00:00.000000
7015|82|9|1999|Hippiefest|2008-06-22 14:00:00.000000
7791|37|9|1999|Bow Wow|2008-06-22 19:00:00.000000
8000|54|9|1999|Carcass|2008-06-22 14:00:00.000000
8517|60|9|1999|Cake|2008-06-22 19:30:00.000000
8741|53|9|1999|Creedence Clearwater Revisited|2008-06-22 19:30:00.000000
737|235|6|2000|Grease|2008-06-23 19:00:00.000000
3454|232|7|2000|Macbeth|2008-06-23 19:00:00.000000
4172|17|9|2000|Sunday in the Country|2008-06-23 14:00:00.000000
5675|14|9|2000|Hot Chip|2008-06-23 14:00:00.000000
6961|100|9|2000|Jesse Lacey|2008-06-23 19:30:00.000000
7261|124|9|2000|Idina Menzel|2008-06-23 14:00:00.000000
7932|35|9|2000|Sound Tribe Sector 9|2008-06-23 14:00:00.000000
2383|202|7|2001|The Caretaker|2008-06-24 14:30:00.000000
3434|212|7|2001|King Lear|2008-06-24 19:30:00.000000
3655|223|7|2001|The Seagull|2008-06-24 19:00:00.000000
3893|121|9|2001|Shakira|2008-06-24 19:30:00.000000
4276|52|9|2001|Rock The Bayou|2008-06-24 15:00:00.000000
5816|82|9|2001|Flogging Molly|2008-06-24 15:00:00.000000
6437|46|9|2001|Bette Midler|2008-06-24 15:00:00.000000
6727|12|9|2001|Bad Company|2008-06-24 19:30:00.000000
7425|97|9|2001|Ryan Adams|2008-06-24 19:00:00.000000
8244|66|9|2001|Oliver Dragojevic|2008-06-24 19:00:00.000000
238|300|8|2002|The Birds (Die Vogel)|2008-06-25 19:30:00.000000
242|308|8|2002|Das Rheingold|2008-06-25 19:00:00.000000
543|213|6|2002|Jersey Boys|2008-06-25 14:00:00.000000
1198|246|6|2002|The Phantom of the Opera|2008-06-25 20:00:00.000000
1325|206|6|2002|Spamalot|2008-06-25 20:00:00.000000
1825|228|7|2002|Spring Awakening|2008-06-25 19:30:00.000000
1841|228|7|2002|Macbeth|2008-06-25 20:00:00.000000
2567|241|7|2002|The Seagull|2008-06-25 19:00:00.000000
3149|212|7|2002|Glengarry Glen Ross|2008-06-25 19:30:00.000000
3423|244|7|2002|Hedda Gabler|2008-06-25 15:00:00.000000
3648|241|7|2002|The Cherry Orchard|2008-06-25 19:00:00.000000
3672|215|7|2002|Rock 'n' Roll|2008-06-25 19:30:00.000000
3892|7|9|2002|Linkin Park|2008-06-25 14:30:00.000000
4651|88|9|2002|K.D. Lang|2008-06-25 19:00:00.000000
5141|85|9|2002|Ray Lamontagne|2008-06-25 19:30:00.000000
5410|91|9|2002|Hot Tuna|2008-06-25 19:30:00.000000
5795|111|9|2002|Irish Tenors|2008-06-25 14:00:00.000000
7020|108|9|2002|The Kooks|2008-06-25 14:00:00.000000
7714|116|9|2002|Kid Rock|2008-06-25 15:00:00.000000
8135|108|9|2002|Paramore|2008-06-25 14:00:00.000000
8564|80|9|2002|Phil Vassar|2008-06-25 19:00:00.000000
466|307|8|2003|Il Trovatore|2008-06-26 14:00:00.000000
615|220|6|2003|Seven Brides for Seven Brothers|2008-06-26 19:30:00.000000
1890|202|7|2003|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-06-26 14:00:00.000000
2003|220|7|2003|The Glass Menagerie|2008-06-26 15:00:00.000000
3088|219|7|2003|Hamlet|2008-06-26 14:00:00.000000
6670|21|9|2003|Poison|2008-06-26 14:00:00.000000
6713|4|9|2003|Seether|2008-06-26 19:00:00.000000
7250|105|9|2003|Tower of Power|2008-06-26 14:00:00.000000
7318|4|9|2003|Jesse McCartney|2008-06-26 19:00:00.000000
8013|128|9|2003|Paul McCartney|2008-06-26 19:00:00.000000
8641|69|9|2003|Jessica Simpson|2008-06-26 19:30:00.000000
1229|231|6|2004|The Little Mermaid|2008-06-27 20:00:00.000000
2523|243|7|2004|The Cherry Orchard|2008-06-27 14:30:00.000000
4455|86|9|2004|Gretchen Wilson|2008-06-27 15:00:00.000000
5119|117|9|2004|Kool and The Gang|2008-06-27 19:00:00.000000
5625|23|9|2004|Commodores|2008-06-27 19:30:00.000000
6893|65|9|2004|Simple Plan|2008-06-27 14:00:00.000000
7263|26|9|2004|Echo & the Bunnymen|2008-06-27 19:30:00.000000
148|302|8|2005|Tristan und Isolde|2008-06-28 20:00:00.000000
2650|222|7|2005|August: Osage County|2008-06-28 15:00:00.000000
2748|247|7|2005|Iphigenia|2008-06-28 15:00:00.000000
2986|232|7|2005|A Doll's House|2008-06-28 14:00:00.000000
4214|28|9|2005|Jamboree in the Hills|2008-06-28 14:00:00.000000
4841|91|9|2005|Vampire Weekend|2008-06-28 19:30:00.000000
5601|112|9|2005|Goo Goo Dolls|2008-06-28 15:00:00.000000
6299|6|9|2005|Melissa Etheridge|2008-06-28 19:30:00.000000
6316|97|9|2005|At The Gates|2008-06-28 14:00:00.000000
6920|7|9|2005|Serj Tankian|2008-06-28 14:00:00.000000
7118|37|9|2005|Matchbox Twenty|2008-06-28 15:00:00.000000
7455|8|9|2005|Wisin y Yandel|2008-06-28 19:00:00.000000
888|243|6|2006|The Little Mermaid|2008-06-29 14:30:00.000000
2249|217|7|2006|Avenue Q|2008-06-29 14:00:00.000000
2453|224|7|2006|A Tale of Two Cities|2008-06-29 19:00:00.000000
2457|233|7|2006|King Lear|2008-06-29 19:00:00.000000
6445|123|9|2006|Ice Cube|2008-06-29 14:00:00.000000
7985|11|9|2006|Chris Botti|2008-06-29 14:00:00.000000
8651|54|9|2006|Smokey Robinson|2008-06-29 15:00:00.000000
590|240|6|2007|Gypsy|2008-06-30 19:30:00.000000
1834|210|7|2007|Romeo and Juliet|2008-06-30 15:00:00.000000
3374|243|7|2007|The Cherry Orchard|2008-06-30 19:00:00.000000
3945|25|9|2007|Aimee Mann|2008-06-30 14:00:00.000000
4523|17|9|2007|John Fogerty|2008-06-30 20:00:00.000000
4762|33|9|2007|Keith Sweat|2008-06-30 20:00:00.000000
6208|11|9|2007|The Swell Season|2008-06-30 14:00:00.000000
6244|55|9|2007|Linda Ronstadt|2008-06-30 15:00:00.000000
6377|11|9|2007|Dropkick Murphys|2008-06-30 19:00:00.000000
7091|98|9|2007|George Michael|2008-06-30 19:30:00.000000
7647|8|9|2007|Reba and Kelly Clarkson|2008-06-30 14:00:00.000000
2617|220|7|2008|Passing Strange|2008-07-01 20:00:00.000000
3317|205|7|2008|Wicked|2008-07-01 19:00:00.000000
4788|73|9|2008|Lyle Lovett|2008-07-01 20:00:00.000000
4977|61|9|2008|Britney Spears|2008-07-01 19:30:00.000000
7957|2|9|2008|Built To Spill|2008-07-01 14:00:00.000000
8514|63|9|2008|Ray Lamontagne|2008-07-01 19:00:00.000000
1172|223|6|2009|Mamma Mia!|2008-07-02 14:30:00.000000
1792|256|6|2009|Legally Blonde|2008-07-02 14:00:00.000000
2117|201|7|2009|Look Back in Anger|2008-07-02 14:30:00.000000
2681|205|7|2009|Thurgood|2008-07-02 20:00:00.000000
2870|226|7|2009|Hedda Gabler|2008-07-02 14:00:00.000000
2943|231|7|2009|To Be or Not To Be|2008-07-02 19:00:00.000000
4417|78|9|2009|Hippiefest|2008-07-02 14:00:00.000000
4550|20|9|2009|Bruce Springsteen|2008-07-02 14:30:00.000000
6913|91|9|2009|Jesse McCartney|2008-07-02 15:00:00.000000
7391|69|9|2009|Gnarls Barkley|2008-07-02 14:00:00.000000
1926|219|7|2010|A Doll's House|2008-07-03 14:00:00.000000
4178|4|9|2010|Bo Bice|2008-07-03 19:30:00.000000
4642|47|9|2010|Sevendust|2008-07-03 19:30:00.000000
4676|32|9|2010|Keith Sweat|2008-07-03 19:00:00.000000
4702|104|9|2010|Robert Plant and Alison Krauss|2008-07-03 15:00:00.000000
4715|116|9|2010|Poison|2008-07-03 14:00:00.000000
5464|64|9|2010|Stone Temple Pilots|2008-07-03 14:00:00.000000
5940|81|9|2010|Celine Dion|2008-07-03 14:00:00.000000
6796|101|9|2010|Marco Antonio Solis|2008-07-03 19:00:00.000000
8149|44|9|2010|James Taylor|2008-07-03 14:00:00.000000
8205|73|9|2010|Led Zeppelin|2008-07-03 19:30:00.000000
8624|95|9|2010|Kanye West|2008-07-03 14:00:00.000000
749|201|6|2011|Dirty Dancing|2008-07-04 20:00:00.000000
1011|217|6|2011|Chicago|2008-07-04 19:00:00.000000
1842|249|7|2011|The Seagull|2008-07-04 15:00:00.000000
1968|202|7|2011|Julius Caesar|2008-07-04 19:00:00.000000
2081|229|7|2011|The Cherry Orchard|2008-07-04 14:30:00.000000
3387|203|7|2011|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-07-04 15:00:00.000000
3811|44|9|2011|Smokey Robinson|2008-07-04 14:30:00.000000
3895|93|9|2011|The Police|2008-07-04 19:00:00.000000
3961|86|9|2011|Cypress Hill|2008-07-04 14:30:00.000000
4032|113|9|2011|Ringo Starr|2008-07-04 19:00:00.000000
4151|51|9|2011|Return To Forever|2008-07-04 19:30:00.000000
4657|108|9|2011|Phil Vassar|2008-07-04 14:00:00.000000
4722|23|9|2011|Bamboozle Left|2008-07-04 14:30:00.000000
5815|90|9|2011|Linda Eder|2008-07-04 19:30:00.000000
7329|40|9|2011|Serj Tankian|2008-07-04 14:00:00.000000
7418|29|9|2011|Coldplay|2008-07-04 19:00:00.000000
7562|64|9|2011|Little Big Town|2008-07-04 19:30:00.000000
8243|83|9|2011|Jason Mraz|2008-07-04 15:00:00.000000
8364|100|9|2011|Huey Lewis and the News|2008-07-04 14:00:00.000000
166|302|8|2012|Die Walkure|2008-07-05 14:30:00.000000
2392|248|7|2012|Rock 'n' Roll|2008-07-05 14:30:00.000000
4336|96|9|2012|Sound Tribe Sector 9|2008-07-05 14:30:00.000000
4611|98|9|2012|Jill Scott|2008-07-05 14:30:00.000000
5595|116|9|2012|Rick Springfield|2008-07-05 14:00:00.000000
6903|74|9|2012|Kenny Loggins|2008-07-05 14:00:00.000000
992|217|6|2013|Les Miserables|2008-07-06 19:30:00.000000
1137|207|6|2013|Mamma Mia!|2008-07-06 14:00:00.000000
2321|245|7|2013|A Man For All Seasons|2008-07-06 14:00:00.000000
2962|211|7|2013|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-07-06 19:00:00.000000
4963|129|9|2013|Hermans Hermits|2008-07-06 19:00:00.000000
5039|95|9|2013|Jim Brickman|2008-07-06 19:00:00.000000
5726|46|9|2013|.38 Special|2008-07-06 15:00:00.000000
5954|106|9|2013|Ana Gabriel|2008-07-06 19:30:00.000000
7212|95|9|2013|Mars Volta|2008-07-06 14:00:00.000000
7392|54|9|2013|Godsmack|2008-07-06 19:00:00.000000
8123|40|9|2013|Marco Antonio Solis|2008-07-06 19:00:00.000000
1587|254|6|2014|Blue Man Group|2008-07-07 15:00:00.000000
1915|210|7|2014|As You Like It|2008-07-07 19:00:00.000000
2820|222|7|2014|Hamlet|2008-07-07 20:00:00.000000
2908|228|7|2014|A Doll's House|2008-07-07 19:00:00.000000
4222|65|9|2014|Hall and Oates|2008-07-07 20:00:00.000000
6343|65|9|2014|Dj Tiesto|2008-07-07 19:30:00.000000
6811|61|9|2014|Tom Petty and the Heartbreakers|2008-07-07 19:00:00.000000
6839|16|9|2014|Motley Crue|2008-07-07 14:00:00.000000
